Date,rs_small
2022-05-06,76.68461974478356
2022-05-09,75.88871041595803
2022-05-10,75.73543172076516
2022-05-11,75.04450749041652
2022-05-12,76.00361058461966
2022-05-13,76.58139148919608
2022-05-16,76.52635601259135
2022-05-17,77.27716145903099
2022-05-18,77.70151979885989
2022-05-19,78.30899563004226
2022-05-20,78.0752787288396
2022-05-23,77.56842527603895
2022-05-24,77.00719435523628
2022-05-25,77.70665206531902
2022-05-26,77.88516795834146
2022-05-27,78.06588013334401
2022-05-31,77.53153429461412
2022-06-01,77.72087261667771
2022-06-02,78.1310814577251
2022-06-03,78.71932017081777
2022-06-06,78.82019873717682
2022-06-07,79.33046505100916
2022-06-08,78.96308751712374
2022-06-09,79.20999752771779
2022-06-10,79.36229760387624
2022-06-13,78.6189403444942
2022-06-14,78.47665935224619
2022-06-15,78.50646920966535
2022-06-16,77.43303292578862
2022-06-17,77.86988242616913
2022-06-21,77.31889869683549
2022-06-22,77.31193011471782
2022-06-23,77.47840384216319
2022-06-24,77.41668476263166
2022-06-27,78.00204349789564
2022-06-28,78.13383160808355
2022-06-29,77.40393724318673
2022-06-30,77.42985689028572
2022-07-01,77.54692442215273
2022-07-05,78.0419800870958
2022-07-06,77.20325796519015
2022-07-07,77.86420587555891
2022-07-08,77.91940459264765
2022-07-11,77.23526544398744
2022-07-12,77.65761436122035
2022-07-13,77.99931139416249
2022-07-14,77.38593138441567
2022-07-15,77.5160610965937
2022-07-18,77.94016262621929
2022-07-19,78.56737216391215
2022-07-20,79.29311967573713
2022-07-21,78.89603821271875
2022-07-22,78.36455387327771
2022-07-25,78.67494730173911
2022-07-26,79.1271394017909
2022-07-27,78.87915942411729
2022-07-28,78.9724404009074
2022-07-29,78.39027594452168
2022-08-01,78.59370539290906
2022-08-02,79.03957951172767
2022-08-03,78.9653419519857
2022-08-04,78.85216005378238
2022-08-05,79.5904938273486
2022-08-08,80.52663081387746
2022-08-09,79.74494151042701
2022-08-10,80.3343366858459
2022-08-11,80.63414864255711
2022-08-12,80.91117214233401
2022-08-15,80.86465483854491
2022-08-16,80.67447138723958
2022-08-17,79.88480737332033
2022-08-18,80.18134642418335
2022-08-19,79.5288766792175
2022-08-22,79.5468709504016
2022-08-23,79.86942639082184
2022-08-24,80.22331176182558
2022-08-25,80.33578413841592
2022-08-26,80.41839678329917
2022-08-29,80.20831407383486
2022-08-30,79.96382394648232
2022-08-31,80.08812999620994
2022-09-01,78.96741846799387
2022-09-02,79.18897890303417
2022-09-06,78.70322496055981
2022-09-07,78.9966462407674
2022-09-08,79.13843354930304
2022-09-09,79.49305953623119
2022-09-12,79.60045133708
2022-09-13,79.96343600489266
2022-09-14,79.969815780609
2022-09-15,80.3001600733177
2022-09-16,79.74131126483412
2022-09-19,79.80406298678497
2022-09-20,79.63060922672113
2022-09-21,79.80631608719534
2022-09-22,78.66928139635166
2022-09-23,78.10514077991878
2022-09-26,77.80545237917377
